m = 1000 ; m` = 1000 ; p = 101 ; q = 109 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 11 ; m` = 11 ; p = -24 ; q = -16 ; n = 384 ; eiler = 425 ; eexp = 2 ; dexp = 213
m = 3 ; m` = 3 ; p = -8 ; q = -13 ; n = 104 ; eiler = 126 ; eexp = 5 ; dexp = 101
m = 3 ; m` = 3 ; p = -13 ; q = -8 ; n = 104 ; eiler = 126 ; eexp = 5 ; dexp = 101
m = 3 ; m` = 3 ; p = -8 ; q = -13 ; n = 104 ; eiler = 126 ; eexp = 5 ; dexp = 101
m = 100000 ; m` = 100000 ; p = 373 ; q = 313 ; n = 116749 ; eiler = 116064 ; eexp = 5 ; dexp = 23213
m = 111111 ; m` = 111111 ; p = 449 ; q = 337 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 111111 ; m` = 111111 ; p = 373 ; q = 313 ; n = 116749 ; eiler = 116064 ; eexp = 5 ; dexp = 23213
m = 111111 ; m` = 111111 ; p = 373 ; q = 313 ; n = 116749 ; eiler = 116064 ; eexp = 5 ; dexp = 23213
m = 111111 ; m` = 111111 ; p = 313 ; q = 373 ; n = 116749 ; eiler = 116064 ; eexp = 5 ; dexp = 23213
m = 111111 ; m` = 111111 ; p = 449 ; q = 337 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 111111 ; m` = 111111 ; p = 373 ; q = 313 ; n = 116749 ; eiler = 116064 ; eexp = 5 ; dexp = 23213
m = 111111 ; m` = 111111 ; p = 449 ; q = 337 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 111111 ; m` = 111111 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 111111 ; m` = 111111 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 150 ; m` = 150 ; p = -39 ; q = -35 ; n = 1365 ; eiler = 1440 ; eexp = 11 ; dexp = 131
m = 150 ; m` = 150 ; p = -39 ; q = -50 ; n = 1950 ; eiler = 2040 ; eexp = 31 ; dexp = 1711
m = 111000 ; m` = 111000 ; p = 347 ; q = 461 ; n = 159967 ; eiler = 159160 ; eexp = 17 ; dexp = 131073
m = 300 ; m` = 300 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 500 ; m` = 500 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 1080 ; m` = 1080 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 323 ; m` = 323 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 228 ; m` = 228 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 1488 ; m` = 1488 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 100000 ; m` = 100000 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 150000 ; m` = 150000 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 148822 ; m` = 148822 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 24 ; m` = 24 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 2555 ; m` = 2555 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 25555 ; m` = 25555 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
m = 150000 ; m` = 150000 ; p = 337 ; q = 449 ; n = 151313 ; eiler = 150528 ; eexp = 5 ; dexp = 90317
